ID,Pabna,Dhaka,Chittagong,PortChittagong,GoBStorage1,Khulna,DhakaAirport,Brahmanbaria,Chandpur,Barisal
Wazirpur,159013.333397695,104992.216942496,175639.74759134,178183.542108003,84993.9679448904,62257.0862395778,112517.432456959,156742.103162804,65920.3469179121,24574.0770690543
Barisal,184401.757621023,116981.157194407,149147.541092561,151635.833143278,91844.833117147,86006.4977965802,124154.742870268,156132.779183428,62797.736024275,5333.12610345563
Mehendiganj,184877.957174677,108191.607011011,141284.772851671,143895.738438125,81257.0178894995,97075.3819811624,115070.663043068,142310.517362188,49477.1345648724,20313.6072858673
Jhalokati,174236.879068958,121656.791001852,169186.24574654,171589.642688495,100242.807219023,65185.0498706368,129140.545399471,169800.010798978,77079.2730135856,16722.9697486789
Rajapur,185259.208415768,139244.119330813,172610.605914359,174834.535378938,118185.278006561,64586.4205206465,146755.380195395,187390.196314578,94338.3149618514,29223.6780079067
Agailjhara,147166.514182086,92017.8368497821,181945.325488701,184578.164479225,73676.4399293189,63116.4562287194,99573.2093408383,147156.818828978,59401.7739588006,35991.1289651692
Nesarabad,166323.825493467,119794.775021988,178794.908393083,181211.650884628,100339.497022205,55665.9547240463,127344.681782636,171919.648851455,80402.4084273183,25822.4225824426
Nalchity,187448.982107989,129136.90282781,156850.629487648,159190.858646347,105548.954239763,77704.927943858,136486.037241441,171738.275153367,78339.8607437451,11426.0145417411
Bhola,203607.667811088,124620.181004916,125291.380936425,127802.798803637,96451.9443699965,109866.045726705,131230.187767168,151532.471493795,61791.7842511697,28439.2986912766
Banaripara,160447.872080394,110761.268492679,178490.782090793,180985.442800821,91396.7671385243,57560.0158690459,118308.361958882,163406.32560821,72571.8982956303,25644.9391649671
Babuganj,171236.723628402,106815.814869213,160104.739565342,162659.981005313,83359.4293150932,77241.8432854759,114147.689530705,151238.394659574,58224.1293390202,12891.3552475195
Bandaria,190087.379733723,149918.311853844,179327.446013558,181441.670987427,129639.685712821,63151.3199163471,157460.252114314,199364.494619167,106381.393112238,41070.4502275536
Muladi,163245.02665619,89886.6069547847,160303.45722852,162996.73034446,65473.517714702,85677.0834469381,97091.6009530968,133505.143335386,41093.4958512717,29423.12203501
Bakerganj,198249.130237058,136188.33858968,147315.637549051,149590.304993748,111230.799185144,87929.6058577604,143406.649230763,174466.172395548,81447.8269531915,17246.276322657
Kawkhali,176993.759808216,134761.526754407,179777.622846121,182052.850607327,115091.708096289,56227.8198182744,142312.97251335,185942.965431759,93616.009248281,31859.1165971267
Hizla,170856.328929318,89613.8941071888,150447.616940361,153182.193116061,62773.7504383666,97285.6402168151,96472.0104070343,126500.771447156,33114.865167559,33860.7327752643
Tazumuddin,237742.350704243,155174.432715635,97596.9257375595,99812.1860429748,125805.425505681,137637.470973316,161337.809978689,170991.370040237,89253.6627204203,58356.7817584388
Char Fasson,256501.397776385,186385.428286497,113675.146891311,115156.016266946,158301.61485513,139897.383869309,193061.23468314,208710.030241692,123069.18811067,73916.4357647994
Lalmohan,241759.394334097,166034.080717324,106960.400816524,108886.917392573,137435.262978836,133181.564720635,172535.937494253,186626.61265117,101695.669474686,58980.7419507718
Dashmina,232563.285948598,167021.914483794,128722.61723613,130574.385287584,140137.702873666,116107.526160972,173971.826821376,196381.310969567,106659.161521274,50896.7362097337
Burhanuddin,227031.006771785,148533.810406587,110132.534116359,112377.114384102,119834.823296674,124983.86518024,154990.290309958,169960.36026724,84084.4285998037,46145.9837708431
Daulatkhan,213525.416951918,131631.188530383,115123.653970099,117609.566187203,102758.889234867,119627.757422151,138010.976700762,153696.681128349,66923.2077979746,38219.2019513906
Mothbaria,204185.845574956,168971.564893971,185293.372082304,187199.189388073,148784.677727679,71652.092755469,176521.211932436,218061.065167094,124855.910813049,58523.6939367517
Barguan,220740.091286261,178806.657527018,173153.575394828,174892.518523525,156539.206445,89541.8956888414,186279.563681977,222689.253198701,129365.901803425,62588.0155892902
Patuakhali,217040.82202403,160670.04171588,148727.056454465,150673.487612218,135886.972980132,96071.3094471557,167928.732042698,198093.317454749,105565.603288868,41531.1425785037
Betagi,206417.75463256,159563.314321828,166311.905154921,168290.255197464,137035.086077408,80478.2851486994,167012.36693595,203448.253919665,110069.568542234,43182.6050286556
Bamna,210217.087799122,172519.095616812,180906.976497486,182754.71283105,151540.607339815,78142.5737547568,180046.83245015,219737.893170901,126371.231864396,59559.8436667369
Dumki,207540.189939605,147747.084118605,146447.291362995,148574.505621549,122749.1872012,91960.7213536397,154971.184166862,185185.055230031,92476.9170659621,28698.5239903607
Mirzapur,206904.389973641,157518.44529237,162252.266822867,164251.627591087,134487.202942893,82718.3355474573,164933.181190673,200174.069510958,106851.637712711,40139.5570256177
Kalapara,242851.204128238,196548.779500483,165033.225490154,166476.476554664,172676.366231257,111637.227770807,203916.636900894,235355.6431582,142901.085452188,77910.8003045043
Kanthalia,194331.226834958,152009.41757507,175431.802871848,177516.075940835,131038.247112852,67882.6762912988,159530.122490565,199884.023224556,106665.077073665,40473.565728839
Amtali,234796.464719075,186111.314950482,160126.534127971,161714.04181199,162066.482161967,105629.39498977,193459.327592782,224752.149261406,132239.169329884,67322.8462548787
Patharghata,216945.91704305,182224.081065563,186106.826226221,187847.982192615,161493.4121465,82946.569344047,189762.371353636,229753.226088734,136378.723817872,69533.4854759374
Bauphal,217764.181456956,150021.003536423,130645.370398406,132769.992179424,123217.770908095,106886.951467936,156974.229990998,180834.011763939,90140.5601087744,34936.0550397643
Galachipa,239005.343943658,180054.390811033,139706.735526343,141338.699692179,154084.215974057,116022.404229947,187169.793673171,212397.868460777,121688.789302034,61576.5115358381
Zianagar,181452.574307319,148034.730097039,190193.345091528,192348.175035211,129679.68425717,52012.0604436798,155605.581911918,201337.892178598,109303.276491837,47024.168327023
Kuchua,162816.411216671,134646.581268425,200068.052452149,202372.259519295,118964.984126169,35897.5092208815,142196.55559796,192750.678657994,103243.149653553,49368.2223958616
Nazirpur,156188.103811745,119161.013997099,192137.129432525,194564.42199779,102654.870850035,42523.2849039008,126728.463839935,176311.011552227,87139.9152480477,38979.5010082835
Pirojpur,172337.233552674,136192.600790157,188427.421017507,190697.972231379,118094.356966499,48117.1111775438,143763.677559663,190265.225750335,98828.9543284746,39728.455499514
KCC (Sonadanga),135090.762525435,136487.624987811,237232.684194646,239621.823975018,129043.487955236,2903.64918812732,143587.647845768,204790.990763019,123934.241546809,84304.7377363613
Terokhada,129766.797782534,122657.265449299,228233.383481761,230698.627661751,114727.997724327,12933.906820755,129830.496037737,190477.188492573,110167.204299909,74996.3011733249
Morrelganj,178262.456741113,153213.034859813,202171.981118919,204303.559470966,136696.606097138,44586.6789451505,160772.04141733,209643.532385557,118622.349059902,58476.4736219827
Rampal,163460.724747863,149851.07761564,218448.099450778,220662.363807609,136736.584908594,27353.6176493146,157305.7470536,211483.680761744,123470.214454335,69955.4584906317
Rupsa,138368.370064736,131323.198164998,227505.834729879,229904.400719451,122149.742635003,7031.38056860221,138570.515854258,197855.110941165,115290.750672344,74510.5721640368
Sarankhola,210529.693269478,186174.598085063,204119.235790236,205889.82814565,167752.549723834,74220.5046363124,193746.181174034,238538.49424047,145700.436999712,80086.347867821
Dighalia,124164.425981121,124780.320623,236632.611398481,239106.32042632,118787.660371991,13143.8534083088,131781.245779321,194417.867610761,116377.575734378,83423.396137162
KCC (Kotwali),138045.621580933,136808.801365582,234164.540558213,236540.998764142,128579.711777703,1491.94725138008,143973.163070167,204324.432769731,122475.795366195,81390.4773310551
Mongla,196021.981024042,180423.447231826,217426.161521735,219326.261870948,164497.134266595,59424.5405574212,187962.698354937,237427.879386452,146017.767764865,83461.9109884345
Mollahat,136899.71601187,118762.550204236,216078.501795856,218543.656676058,108118.555868499,21343.0987420186,126129.758611561,183714.187149881,100548.591578113,62842.6928096183
Chitalmari,146916.029349363,120329.528518121,205361.238873015,207795.089791046,106863.125175395,29660.9854957419,127826.958505927,181812.018498691,95439.1318310069,52146.768179063
Fakirhat,146411.635334698,134211.670156384,221026.668585126,223384.026979205,123177.957710229,13933.1396316944,141575.576357586,198627.380243224,113718.232027677,68614.8812543433
Bagerhat,155773.249696383,136346.323047641,211570.173026962,213884.807930993,122985.67093685,24709.5147697879,143823.746088101,197781.418398194,110301.479278958,60214.9658336256
KCC (Khalishpur),131911.257507819,134592.754474619,238686.954337536,241095.42434458,127761.063028848,5358.21083059811,141643.600484344,203483.839288666,123543.135919124,85587.8740665064
KCC (Khan Jahan Ali),130122.430894302,134625.077413413,240741.931380785,243157.083706533,128303.140621536,7622.80932200189,141629.264560097,203990.379258429,124702.351574261,87596.5394713809
KCC (Daulatpur),127929.119363757,133119.886968283,241484.575395968,243913.440201895,127198.961675372,9456.88535354545,140090.189774687,202844.484811575,124196.005461578,88271.5597341729
Batiagahata,145646.144719729,147203.844165906,237824.172052192,240129.687687585,138534.967081738,11799.5291743113,154383.354039,214247.509770784,131171.499967366,86224.7188081726
Dacope,170842.05894445,169313.200213487,236254.609825701,238355.923820851,157787.416042291,36836.8970346441,176664.842637188,232917.161692463,145577.998473019,91036.3115800447
Phultala,119515.286189799,134146.99687651,251717.353110072,254174.833921886,130720.167646658,20461.6019176825,140853.428438243,205938.497766281,130600.143312486,98465.0812487896
Khan Jahan Ali,125728.418133816,133499.258141395,244332.511537975,246768.323342951,128251.985505674,12370.5607461563,140402.424876253,203814.358548174,126028.1119604,91096.6680758542
Koyra,186386.396708861,192373.927269057,251799.6788787,253751.452642032,181227.363391851,58064.1499692659,199680.751702731,256353.580165933,168585.838339308,111728.973132384
Dumuria,133781.204814083,147477.912460844,252093.347426207,254452.398335548,142097.462553236,18191.2894181364,154358.097860312,217715.818164519,138767.449984981,99466.5725627823
Paikgachha,157264.634116086,169469.795582502,254263.295060359,256447.509267306,161554.254944819,34152.1496923975,176550.166626516,237285.677251571,153929.227162941,105479.168445221
Shyamnagar,203037.335266384,215025.534996959,268183.471289677,269998.371242346,204180.140759334,80041.7786108568,222294.180746802,279305.976555134,191229.2962637,132904.943773716
Kalaroa,126889.941978152,169159.685781389,289071.791146234,291434.677195824,169116.676681459,54840.9834495165,175328.961734309,243408.804775232,171007.279698122,136292.801166031
Kaliganj,175880.781824082,200670.472366079,280312.12603868,282350.509373321,193844.004544279,66327.0754778522,207606.015847791,269594.248636957,186367.041196816,135468.106620734
Assasuni,167422.47149,186406.346911218,267567.950542571,269666.688645354,178987.915036237,51495.0452944698,193417.528375809,254729.457618852,171273.750643749,121095.785193931
Debhata,157921.654719827,190098.398994332,285525.895388476,287693.46089509,185840.080791593,60114.7095542599,196770.957923986,261386.857359497,181877.530047494,136551.696195351
Satkhira,144604.992510478,178787.710263046,283604.663789741,285859.719537416,175863.290954486,52946.4847553984,185320.192441068,251119.882405857,173941.452939565,132559.700669624
Tala,141275.196974978,166627.82878839,269420.341020345,271703.201241351,162415.219696372,38185.5575213017,173338.782913051,237906.994371017,159470.585408919,117943.450989225
